Orig,Dest,Flt,Aircraft,Final,Final LS,Doors,Total PAX,Sched,Doors,Out,Doors,Out,Delay,Delay Code & Remarks
"",,,Reg,PrePlan,Print,Closed,Onboard,Dep,Closed,Gate,Closed,Gate,Group,
"",,,Number,Timestamp,Timestamp,Local,,CST,CST,CST,Delay,Delay,Code,
BWI,LAX,1672,N8607M,3:48 AM,4:28 AM,4:34 AM,163,5:30 AM,5:34 AM,5:39 AM,4,9,TR09,FS 0601 LS  0623 PWB 0628
"",,,,,,,,,,,,,,DOORS CLOSED 0634. LAST PAX
"",,,,,,,,,,,,,,WITH PETC WERE IN THE AFT
"",,,,,,,,,,,,,,ROW OF THE AIRCRAFT TO SIT
"",,,,,,,,,,,,,,TOGETHER AND THE FA WERE
"",,,,,,,,,,,,,,MOVING THEM AROUND TO
"",,,,,,,,,,,,,,MAKE THEM PUT THE PET
"",,,,,,,,,,,,,,CARRIERS UNDERNEATH THE
"",,,,,,,,,,,,,,SEATS.
CHS,BNA,492,N8542Z,3:43 AM,4:44 AM,4:56 AM,121,5:40 AM,5:56 AM,5:57 AM,16,17,SD01,BAGS BELTS DROPPED OTS
"",,,,,,,,,,,,,,WAITING TO MAKE SURE MOST
"",,,,,,,,,,,,,,OF THE BAGS MADE IT ON FLT
"",,,,,,,,,,,,,,PWB SENT AT 0644 13 MIN
"",,,,,,,,,,,,,,DELAY DUE TO PAX NEEDING
"",,,,,,,,,,,,,,MEDICAL EVALUATION
CHS,BWI,248,N272WN,4:59 AM,5:28 AM,5:29 AM,95,6:20 AM,6:29 AM,6:29 AM,9,9,SD01,BAG BELTS NOT WORKING GOT
"",,,,,,,,,,,,,,OK TO HOLD A/C TO GET AS
"",,,,,,,,,,,,,,MANY BAGS ON UP TO 10 MINS
"",,,,,,,,,,,,,,DELAYFIM 64
CLE,BNA,561,N7747C,3:34 AM,4:22 AM,4:24 AM,139,5:25 AM,5:24 AM,5:27 AM,0,2,,
CMH,TPA,1701,N930WN,2:57 AM,4:03 AM,4:04 AM,143,5:05 AM,5:04 AM,5:07 AM,0,2,,
CMH,MDW,1783,N8767M,4:09 AM,4:49 AM,4:56 AM,86,6:00 AM,5:56 AM,6:11 AM,0,11,TR20,DOORS CLOSED 0656 AC REQD
"",,,,,,,,,,,,,,AIRSTART
CMH,LAS,1276,N8657B,3:20 AM,4:11 AM,4:14 AM,169,5:15 AM,5:14 AM,5:17 AM,0,2,,
Orig,Dest,Flt,Aircraft,Final,Final LS,Doors,Total PAX,Sched,Doors,Out,Doors,Out,Delay,Delay Code & Remarks
"",,,Reg,PrePlan,Print,Closed,Onboard,Dep,Closed,Gate,Closed,Gate,Group,
"",,,Number,Timestamp,Timestamp,Local,,CST,CST,CST,Delay,Delay,Code,
"",,,,Local,Local,,,,,,,,,
COS,DEN,2824,N8740A,5:10 AM,5:22 AM,5:24 AM,65,6:20 AM,6:24 AM,6:27 AM,4,7,OP10,system froze as numbers where
"",,,,,,,,,,,,,,"being sent, hard computer reset"
"",,,,,,,,,,,,,,was needed twice.
COS,DAL,1634,N8695D,5:11 AM,6:01 AM,6:03 AM,167,7:00 AM,7:03 AM,7:04 AM,3,4,CM02,HAD TO ASK CSA TO PROCESS
"",,,,,,,,,,,,,,TWO PAX UNDOCUMENTED
"",,,,,,,,,,,,,,COS //4 WCHAIRS AND PAX LAS
"",,,,,,,,,,,,,,MIN WITH A SCOOTER TLOB 169
"",,,,,,,,,,,,,,3 LAPS FS 0531 LS 0552 PWB
"",,,,,,,,,,,,,,0601
DAL,ATL,675,N482WN,4:15 AM,5:09 AM,5:11 AM,132,6:10 AM,6:11 AM,6:12 AM,1,2,TR09,F/S  0544  L/S  0601  PWB  0609
"",,,,,,,,,,,,,,<<FLT ATT(SCOTT ZIRBEL) ARRV
"",,,,,,,,,,,,,,AT BOARD TIME (0540).  NICOLE
"",,,,,,,,,,,,,,SALINAS (DAL STAT UNION REP)
"",,,,,,,,,,,,,,ASST 1ST WCHR PAX. FLT CREW
"",,,,,,,,,,,,,,READY TO BOARD AT 0544.
"",,,,,,,,,,,,,,SCOTT DELAYED L1 CLSE.>>
DCA,DAL,791,N928WN,4:18 AM,4:50 AM,4:53 AM,123,5:55 AM,5:53 AM,5:56 AM,0,1,,
DCA,MCO,477,N422WN,2:46 AM,3:55 AM,3:57 AM,112,5:05 AM,4:57 AM,5:09 AM,0,4,TR20,DOORS CLOSED 8 MIN
"",,,,,,,,,,,,,,EARLY........fs  0538  ls 0551  wb
"",,,,,,,,,,,,,,0551pwb 0555
DCA,FLL,794,N424WN,3:20 AM,3:53 AM,3:55 AM,100,5:00 AM,4:55 AM,5:02 AM,0,2,TR20,FS 0530... LS 0551... PWB 0553
DEN,OMA,1036,N567WN,4:40 AM,5:21 AM,5:26 AM,16,6:25 AM,6:26 AM,6:32 AM,1,7,TR03,Scheduling confirmed FO was
"",,,,,,,,,,,,,,checked in and on the way at
"",,,,,,,,,,,,,,"0511, FO 149145 arrived at 0520,"
"",,,,,,,,,,,,,,"closed doors 1 min late, fs0457/"
"",,,,,,,,,,,,,,ls0507/pwb0521
DEN,TPA,962,N8545V,4:57 AM,5:55 AM,5:58 AM,172,6:40 AM,6:58 AM,7:02 AM,18,22,MX02,data link inop required new
"",,,,,,,,,,,,,,release MEL'd ACARS
DEN,PHX,1987,N247WN,4:41 AM,5:28 AM,5:30 AM,132,6:35 AM,6:30 AM,6:36 AM,0,1,TR20,Doors closed on Time.
DEN,MDW,2968,N7853B,4:50 AM,5:25 AM,5:27 AM,113,6:25 AM,6:27 AM,6:30 AM,2,5,TR04,CA completing SSI Form.
"",,,,,,,,,,,,,,Boarding Started 4:58 (FA -A
"",,,,,,,,,,,,,,"Michael E Prime arrived 5:05, too"
"",,,,,,,,,,,,,,"1st PAX UM down at 5:08), Last"
"",,,,,,,,,,,,,,Scan 5:23 (getting SBY on while
"",,,,,,,,,,,,,,"Ramp still loading), PWB Sent"
"",,,,,,,,,,,,,,"5:25, Doors Closed 5:27 (CA"
"",,,,,,,,,,,,,,completing SSI Form).
DEN,MCO,920,N8305E,4:32 AM,5:02 AM,5:10 AM,174,6:10 AM,6:10 AM,6:11 AM,0,1,,
Orig,Dest,Flt,Aircraft,Final,Final LS,Doors,Total PAX,Sched,Doors,Out,Doors,Out,Delay,Delay Code & Remarks
"",,,Reg,PrePlan,Print,Closed,Onboard,Dep,Closed,Gate,Closed,Gate,Group,
"",,,Number,Timestamp,Timestamp,Local,,CST,CST,CST,Delay,Delay,Code,
"",,,,Local,Local,,,,,,,,,
DEN,SEA,2776,N444WN,4:59 AM,5:49 AM,5:51 AM,91,6:50 AM,6:51 AM,6:52 AM,1,2,TR14,NO RAMP CREW UNTIL 0535
"",,,,,,,,,,,,,,Pax boarding started05:26
"",,,,,,,,,,,,,,Pax boarding ended05:46
"",,,,,,,,,,,,,,Final boarding card scanned05:46
"",,,,,,,,,,,,,,Finalizing
"",,,,,,,,,,,,,,Weight  balance started05:04
"",,,,,,,,,,,,,,PWB Sent05:49
DEN,LAX,280,N229WN,5:04 AM,5:46 AM,5:48 AM,90,6:45 AM,6:48 AM,6:50 AM,3,5,MX02,Pax boarding started 05:20
"",,,,,,,,,,,,,,Pax boarding ended 05:29
"",,,,,,,,,,,,,,PWB Sent 05:46
"",,,,,,,,,,,,,,mx lock at push time mel
DEN,MSP,2072,N213WN,4:50 AM,5:21 AM,5:29 AM,28,6:25 AM,6:29 AM,6:38 AM,4,13,TR01,"BOTH PILOTS CALLED AT 3:00,"
"",,,,,,,,,,,,,,FS 510 LS 515 PWB 521
FLL,HOU,1052,N8637A,3:18 AM,3:58 AM,4:01 AM,123,5:05 AM,5:01 AM,5:11 AM,0,6,TR20,FS//05:38 LS//05:50 PWB//05:58
"",,,,,,,,,,,,,,CAP RELEASED BRAKES LATE
"",,,,,,,,,,,,,,AFTER DOORS CLOSED ON
"",,,,,,,,,,,,,,TIME.
GSP,ATL,1081,N230WN,3:21 AM,4:35 AM,4:36 AM,131,5:40 AM,5:36 AM,5:41 AM,0,1,TR20,PILOT STILL DOING CHECKS
"",,,,,,,,,,,,,,WITH ELECTIC STILL HOOKED
"",,,,,,,,,,,,,,UP
HOU,LGA,1397,N907WN,3:54 AM,4:38 AM,4:45 AM,136,5:40 AM,5:45 AM,5:47 AM,5,7,TR13,FS0515  LS0535  PWB0538 5 WC
"",,,,,,,,,,,,,,NO HELP  KEPT BOARDING PAST
"",,,,,,,,,,,,,,10 MIN MARK  KELLY adv
HOU,TPA,368,N498WN,3:51 AM,4:36 AM,4:54 AM,35,5:45 AM,5:54 AM,5:55 AM,9,10,TR04,MX CALLED AT PUSH FOR
"",,,,,,,,,,,,,,"CHECKLIST, MCC WALTER ADVD,"
"",,,,,,,,,,,,,,"CSS MARK PRESENT, FS 0518, LS"
"",,,,,,,,,,,,,,0527.
IND,MCO,1280,N734SA,4:10 AM,4:11 AM,4:22 AM,142,5:20 AM,5:22 AM,5:24 AM,2,4,CM02,FS 51 LS 09..PAX NEEDED AISLE
"",,,,,,,,,,,,,,CHAIR TO BOARD...10 MINUTES
"",,,,,,,,,,,,,,FOR JETWAY TO CLEAR AND PAX
"",,,,,,,,,,,,,,TO TAKE SEATS
LGA,ATL,1468,N8622A,4:04 AM,5:15 AM,5:23 AM,167,6:15 AM,6:23 AM,6:24 AM,8,9,TR11,TRIED TO GET A TAILSWAP WAS
"",,,,,,,,,,,,,,NOT ALOWED TOW CAME IN
"",,,,,,,,,,,,,,LATE TO GATE
LGA,DEN,1479,N8621A,3:19 AM,5:04 AM,5:06 AM,152,6:00 AM,6:06 AM,6:09 AM,6,9,TR08,"fs:41 Ls:55 A, B, C FA's arrived 9"
"",,,,,,,,,,,,,,min late for flight.
MCI,BNA,434,N8670A,4:01 AM,5:35 AM,5:41 AM,173,6:40 AM,6:41 AM,6:43 AM,1,3,TR09,LAST F/A ARRIVED RIGHT AT 30
Orig,Dest,Flt,Aircraft,Final,Final LS,Doors,Total PAX,Sched,Doors,Out,Doors,Out,Delay,Delay Code & Remarks
"",,,Reg,PrePlan,Print,Closed,Onboard,Dep,Closed,Gate,Closed,Gate,Group,
"",,,Number,Timestamp,Timestamp,Local,,CST,CST,CST,Delay,Delay,Code,
"",,,,Local,Local,,,,,,,,,
MCI,BWI,1535,N958WN,4:16 AM,4:28 AM,4:38 AM,138,5:30 AM,5:38 AM,5:43 AM,8,13,CM02,"fs03 ls27 pwb28... honor flight, pax"
"",,,,,,,,,,,,,,"finding seats, pilots did not have"
