Orig,Dest,Flt,Aircraft,Final,Final LS,Doors,Total PAX,Sched,Doors,Out,Doors,Out,Delay,Delay Code & Remarks
"",,,Reg,PrePlan,Print,Closed,Onboard,Dep,Closed,Gate,Closed,Gate,Group,
"",,,Number,Timestamp,Timestamp,Local,,CST,CST,CST,Delay,Delay,Code,
"",,,,,,,,,,,,,,0650  PWB 0651  MX WORKING
"",,,,,,,,,,,,,,ON LOGBOOK...  DOORS
"",,,,,,,,,,,,,,CLOSED 0657 MX CALLED @ 5
"",,,,,,,,,,,,,,PRIOR FOR SECOND RETURN T
"",,,,,,,,,,,,,,A/C PER CAPTAIN
TUL,PHX,2287,N749SW,5:31 AM,6:00 AM,6:03 AM,141,7:00 AM,7:03 AM,7:06 AM,3,6,CM02,1ST BOARDING GROUP REALLY
"",,,,,,,,,,,,,,SLOW TO BOARD.. WAITING ON
"",,,,,,,,,,,,,,PAX TO SIT AT END OF
"",,,,,,,,,,,,,,BOARDING .
TUL,HOU,2247,N231WN,3:57 AM,5:02 AM,5:08 AM,135,6:10 AM,6:08 AM,6:13 AM,0,3,MX02,CAPT WRITING UP MEL.. THEN
